connection_site,assigned_charging_zone,basis,reason
Hare Craig 33kV Substation,GZ11,regional proxy; charging-zone centroid,Host-TO regional proxy (SPT)
Hare Hill Repowering 132/33kV Substation,GZ11,regional proxy; charging-zone centroid,Host-TO regional proxy (SPT)
Harlaston 400kV Substation,GZ18,regional proxy; charging-zone centroid,Host-TO regional proxy (NGET)
Hawkers Hill,GZ26,project,Spatial point-in-polygon
Hawkwood Windfarm 33kV Substation,GZ11,regional proxy; charging-zone centroid,Host-TO regional proxy (SPT)
Heastabhal Wind Farm Substation 132 KV,GZ1,regional proxy; charging-zone centroid,Host-TO regional proxy (SHET)
Heathland 132/33kV Substation,GZ11,regional proxy; charging-zone centroid,Host-TO regional proxy (SPT)
Craig Murrail 275/33kV GSP Substation,GZ1,regional proxy; charging-zone centroid,Host-TO regional proxy (SHET)
High Constellation 132/33kV Substation,GZ1,regional proxy; charging-zone centroid,Host-TO regional proxy (SHET)
Trent Valley South Connection Node G 400kV Substation,GZ18,settlement/regional proxy,Named regional settlement proxy (trent valley south)
Redshaw 400kV,GZ11,regional proxy; charging-zone centroid,Host-TO regional proxy (SPT)
Highland BESS 132kV Substation,GZ1,regional proxy; charging-zone centroid,Host-TO regional proxy (SHET)
Highland Wind Farm 132/33kV substation,GZ1,regional proxy; charging-zone centroid,Host-TO regional proxy (SHET)
Dunstable 400kV Substation,GZ18,regional proxy; charging-zone centroid,Host-TO regional proxy (NGET)
Hollandmey Renewable Energy Development132/33kV Substation,GZ1,regional proxy; charging-zone centroid,Host-TO regional proxy (SHET)
Holm Hill 132kV Substation,GZ11,regional proxy; charging-zone centroid,Host-TO regional proxy (SPT)
Hopsrig Collector Substation,GZ11,regional proxy; charging-zone centroid,Host-TO regional proxy (SPT)
Hornsea Platform 1A Offshore Substation,GZ18,regional proxy; charging-zone centroid,Host-TO regional proxy (NGET)
Hornsea Platform 1B Offshore Substation,GZ18,regional proxy; charging-zone centroid,Host-TO regional proxy (NGET)
Hornsea Platform 1C Offshore Substation,GZ18,regional proxy; charging-zone centroid,Host-TO regional proxy (NGET)
Hornsea Platform 2A Offshore Substation,GZ18,regional proxy; charging-zone centroid,Host-TO regional proxy (NGET)
Hornsea Platform 2B Offshore Substation,GZ18,regional proxy; charging-zone centroid,Host-TO regional proxy (NGET)
Hornsea Power Station 2C Offshore platform Substation,GZ18,regional proxy; charging-zone centroid,Host-TO regional proxy (NGET)
Humber Gateway 33/132kV Offshore Substation,GZ14,regional proxy; charging-zone centroid,Host-TO regional proxy (OFTO)
Ayrshire Grid 400kV Substation,GZ11,project proxy; charging-zone centroid,Same-project zone proxy (Hunterston Energy Storage Facility)
West Anglia Connection Node H 400kVSubstation,GZ18,settlement/regional proxy,Named regional settlement proxy (west anglia)
North Kent Connection Node C 400kV Substation,GZ24,settlement/regional proxy,Named regional settlement proxy (north kent)
Wearside Connection Node B 2 400kV Substation,GZ13,settlement/regional proxy,Named regional settlement proxy (wearside)
Woolavington 400kV Substation,GZ18,regional proxy; charging-zone centroid,Host-TO regional proxy (NGET)
North Anglia Connection Node A 132kV Substation,GZ18,charging-zone centroid proxy,NESO node-zone map via 2025 TEC project proxy (Norwich GSP)
Inveroykel Wind Farm 132kV,GZ1,regional proxy; charging-zone centroid,Host-TO regional proxy (SHET)
Jersey Farm 400kV Substation,GZ18,regional proxy; charging-zone centroid,Host-TO regional proxy (NGET)
Jubilee Farm 275kV Substation,GZ18,regional proxy; charging-zone centroid,Host-TO regional proxy (NGET)
Kellingley IDNO GSP,GZ18,regional proxy; charging-zone centroid,Host-TO regional proxy (NGET)
Kellas Wind Farm 132kV Substation,GZ1,regional proxy; charging-zone centroid,Host-TO regional proxy (SHET)
Middlemuir Wind Farm Collector Substation,GZ11,project proxy; charging-zone centroid,Same-project zone proxy (Kennoxhead Wind Farm Extension)
Raventhorpe 400kV Substation,GZ18,regional proxy; charging-zone centroid,Host-TO regional proxy (NGET)
Killoch BESS 132kV Substation,GZ11,regional proxy; charging-zone centroid,Host-TO regional proxy (SPT)
Kinkell IDNO GSP,GZ11,regional proxy; charging-zone centroid,Host-TO regional proxy (SPT)
Kinmuck BESS 132kV Substation,GZ1,regional proxy; charging-zone centroid,Host-TO regional proxy (SHET)
Kirkcaldy BESS 132kV Substation,GZ11,regional proxy; charging-zone centroid,Host-TO regional proxy (SPT)
Narie 400/132kV Substation,GZ11,regional proxy; charging-zone centroid,Host-TO regional proxy (SPT)
Knockcronal Wind Farm 33kV Substation,GZ11,regional proxy; charging-zone centroid,Host-TO regional proxy (SPT)
Knockodhar Wind Farm 132kV Substation,GZ11,regional proxy; charging-zone centroid,Host-TO regional proxy (SPT)
Severn Connection Node A 400kv Substation,GZ22,settlement/regional proxy,Named regional settlement proxy (severn)
KXP Alpha 3 Ayr BESS 275kV Substation,GZ11,regional proxy; charging-zone centroid,Host-TO regional proxy (SPT)
L48 BESS Dams of Craigie,GZ1,regional proxy; charging-zone centroid,Host-TO regional proxy (SHET)
L48 BESS GLEN APP 275/132KV SUBSTATION,GZ11,regional proxy; charging-zone centroid,Host-TO regional proxy (SPT)
Creag Dhubh 275/132/33kV,GZ1,regional proxy; charging-zone centroid,Host-TO regional proxy (SHET)
Lairdmannoch Energy Park 132kV substation,GZ11,regional proxy; charging-zone centroid,Host-TO regional proxy (SPT)
LEARNEY BESS 132KV,GZ1,regional proxy; charging-zone centroid,Host-TO regional proxy (SHET)
Leslie 200MW BESS 275kV Substation,GZ11,regional proxy; charging-zone centroid,Host-TO regional proxy (SPT)
Lessnessock,GZ11,regional proxy; charging-zone centroid,Host-TO regional proxy (SPT)
Lethans Collector Substation,GZ11,regional proxy; charging-zone centroid,Host-TO regional proxy (SPT)
Lethans Collector 132kV Substation,GZ11,regional proxy; charging-zone centroid,Host-TO regional proxy (SPT)
Lethen Wind Farm 132/33kV Substation,GZ1,regional proxy; charging-zone centroid,Host-TO regional proxy (SHET)
Leuchland Farm IDNO,GZ1,regional proxy; charging-zone centroid,Host-TO regional proxy (SHET)
LGB300 400KV Substation,GZ1,regional proxy; charging-zone centroid,Host-TO regional proxy (SHET)
