wind_metric,wind_metric_label,season,interconnectorId,interconnectorName,wind_bucket,direction,level_metric,bin_width_mw,direction_observations,bin_lower_mw,bin_upper_mw,bin_mid_mw,bin_count,bin_probability_pct,pdf_density_per_mw
wind_actual_mw,Actual wind output,All,TOTAL_GB_INTERCONNECTORS,GB interconnector fleet total,lowest_20pct,import,import_mw_positive_magnitude_conditional_on_importing,100.0,12931,6000.0,6100.0,6050.0,160,1.2373366328976878,0.00012373366328976876
wind_actual_mw,Actual wind output,All,TOTAL_GB_INTERCONNECTORS,GB interconnector fleet total,lowest_20pct,import,import_mw_positive_magnitude_conditional_on_importing,100.0,12931,6100.0,6200.0,6150.0,151,1.1677364472971927,0.00011677364472971928
wind_actual_mw,Actual wind output,All,TOTAL_GB_INTERCONNECTORS,GB interconnector fleet total,lowest_20pct,import,import_mw_positive_magnitude_conditional_on_importing,100.0,12931,6200.0,6300.0,6250.0,189,1.4616038976103938,0.00014616038976103936
wind_actual_mw,Actual wind output,All,TOTAL_GB_INTERCONNECTORS,GB interconnector fleet total,lowest_20pct,import,import_mw_positive_magnitude_conditional_on_importing,100.0,12931,6300.0,6400.0,6350.0,174,1.3456035882762354,0.00013456035882762355
wind_actual_mw,Actual wind output,All,TOTAL_GB_INTERCONNECTORS,GB interconnector fleet total,lowest_20pct,import,import_mw_positive_magnitude_conditional_on_importing,100.0,12931,6400.0,6500.0,6450.0,164,1.26827004872013,0.000126827004872013
wind_actual_mw,Actual wind output,All,TOTAL_GB_INTERCONNECTORS,GB interconnector fleet total,lowest_20pct,import,import_mw_positive_magnitude_conditional_on_importing,100.0,12931,6500.0,6600.0,6550.0,131,1.0130693681849818,0.00010130693681849818
wind_actual_mw,Actual wind output,All,TOTAL_GB_INTERCONNECTORS,GB interconnector fleet total,lowest_20pct,import,import_mw_positive_magnitude_conditional_on_importing,100.0,12931,6600.0,6700.0,6650.0,110,0.8506689351171604,8.506689351171603e-05
wind_actual_mw,Actual wind output,All,TOTAL_GB_INTERCONNECTORS,GB interconnector fleet total,lowest_20pct,import,import_mw_positive_magnitude_conditional_on_importing,100.0,12931,6700.0,6800.0,6750.0,98,0.7578686876498337,7.578686876498338e-05
wind_actual_mw,Actual wind output,All,TOTAL_GB_INTERCONNECTORS,GB interconnector fleet total,lowest_20pct,import,import_mw_positive_magnitude_conditional_on_importing,100.0,12931,6800.0,6900.0,6850.0,115,0.889335704895213,8.89335704895213e-05
wind_actual_mw,Actual wind output,All,TOTAL_GB_INTERCONNECTORS,GB interconnector fleet total,lowest_20pct,import,import_mw_positive_magnitude_conditional_on_importing,100.0,12931,6900.0,7000.0,6950.0,120,0.9280024746732658,9.280024746732658e-05
wind_actual_mw,Actual wind output,All,TOTAL_GB_INTERCONNECTORS,GB interconnector fleet total,lowest_20pct,import,import_mw_positive_magnitude_conditional_on_importing,100.0,12931,7000.0,7100.0,7050.0,83,0.6418683783156756,6.418683783156755e-05
wind_actual_mw,Actual wind output,All,TOTAL_GB_INTERCONNECTORS,GB interconnector fleet total,lowest_20pct,import,import_mw_positive_magnitude_conditional_on_importing,100.0,12931,7100.0,7200.0,7150.0,68,0.5258680689815173,5.258680689815173e-05
wind_actual_mw,Actual wind output,All,TOTAL_GB_INTERCONNECTORS,GB interconnector fleet total,lowest_20pct,import,import_mw_positive_magnitude_conditional_on_importing,100.0,12931,7200.0,7300.0,7250.0,91,0.7037352099605599,7.037352099605599e-05
