interconnectorId,interconnectorName,season,granularity,wind_metric,wind_metric_label,flow_metric,flow_metric_label,observations,pearson_corr,spearman_corr,wind_mean_mw,wind_p10_mw,wind_p90_mw,flow_mean_mw,flow_p10_mw,flow_p90_mw
INTIFA2,IFA2 (INTIFA2),Spring,daily,wind_before_curtailment_mw,Wind before curtailment proxy,signed_mw,Signed interconnector position,368,-0.041643665072575484,-0.12713092946659052,6471.388133615084,1850.1170662499999,12218.973320080444,443.0250887362748,-666.2999999999998,991.1666666666666
INTIFA2,IFA2 (INTIFA2),Spring,daily,wind_before_curtailment_mw,Wind before curtailment proxy,import_mw,Import magnitude,368,-0.04490386730635034,-0.1146091582308507,6471.388133615084,1850.1170662499999,12218.973320080444,602.0945893915323,0.0,991.1666666666666
INTIFA2,IFA2 (INTIFA2),Spring,daily,wind_before_curtailment_mw,Wind before curtailment proxy,export_mw,Export magnitude,368,0.03168001412134792,0.08603823311235734,6471.388133615084,1850.1170662499999,12218.973320080444,159.06950065525749,0.0,676.8125000000003
INTIFA2,IFA2 (INTIFA2),Summer,daily,wind_actual_mw,Actual wind output,signed_mw,Signed interconnector position,429,-0.11090569834770657,-0.13585244723885545,4765.992531408639,1524.9193916666668,8668.640725000001,322.72562803369925,-912.675,979.525
INTIFA2,IFA2 (INTIFA2),Summer,daily,wind_actual_mw,Actual wind output,import_mw,Import magnitude,429,-0.15711493617244202,-0.13796412117178095,4765.992531408639,1524.9193916666668,8668.640725000001,502.3085339986357,0.0,979.525
INTIFA2,IFA2 (INTIFA2),Summer,daily,wind_actual_mw,Actual wind output,export_mw,Export magnitude,429,0.035301488104787115,0.14746078402448534,4765.992531408639,1524.9193916666668,8668.640725000001,179.58290596493646,0.0,912.675
INTIFA2,IFA2 (INTIFA2),Summer,daily,wind_before_curtailment_mw,Wind before curtailment proxy,signed_mw,Signed interconnector position,429,-0.09862393975727822,-0.1216092935704898,5305.889908752082,1524.9628,10498.455566666666,322.72562803369925,-912.675,979.525
INTIFA2,IFA2 (INTIFA2),Summer,daily,wind_before_curtailment_mw,Wind before curtailment proxy,import_mw,Import magnitude,429,-0.15593620693216848,-0.12796046700455027,5305.889908752082,1524.9628,10498.455566666666,502.3085339986357,0.0,979.525
INTIFA2,IFA2 (INTIFA2),Summer,daily,wind_before_curtailment_mw,Wind before curtailment proxy,export_mw,Export magnitude,429,0.012511071810685689,0.13850352241651448,5305.889908752082,1524.9628,10498.455566666666,179.58290596493646,0.0,912.675
INTIFA2,IFA2 (INTIFA2),Winter,daily,wind_actual_mw,Actual wind output,signed_mw,Signed interconnector position,392,-0.028777484347939416,-0.02235944622337999,8915.189880037435,3849.949284166667,13295.804296666669,229.9732065964684,-370.62916666666666,903.1916666666672
INTIFA2,IFA2 (INTIFA2),Winter,daily,wind_actual_mw,Actual wind output,import_mw,Import magnitude,392,-0.053200121873959276,-0.05619403627875672,8915.189880037435,3849.949284166667,13295.804296666669,370.1183124668307,0.0,903.1916666666672
INTIFA2,IFA2 (INTIFA2),Winter,daily,wind_actual_mw,Actual wind output,export_mw,Export magnitude,392,-0.022665114541422216,0.006489617628380506,8915.189880037435,3849.949284166667,13295.804296666669,140.1451058703623,0.0,440.74166666666673
INTIFA2,IFA2 (INTIFA2),Winter,daily,wind_before_curtailment_mw,Wind before curtailment proxy,signed_mw,Signed interconnector position,392,-0.04670581919885576,-0.03893570933681707,9767.087746548437,3913.359862083291,15114.978378469605,229.9732065964684,-370.62916666666666,903.1916666666672
INTIFA2,IFA2 (INTIFA2),Winter,daily,wind_before_curtailment_mw,Wind before curtailment proxy,import_mw,Import magnitude,392,-0.06236285907009772,-0.0613202177918654,9767.087746548437,3913.359862083291,15114.978378469605,370.1183124668307,0.0,903.1916666666672
INTIFA2,IFA2 (INTIFA2),Winter,daily,wind_before_curtailment_mw,Wind before curtailment proxy,export_mw,Export magnitude,392,0.001783081961281256,0.0377767512613172,9767.087746548437,3913.359862083291,15114.978378469605,140.1451058703623,0.0,440.74166666666673
INTIRL,Northern Ireland(Moyle),Autumn,daily,wind_actual_mw,Actual wind output,signed_mw,Signed interconnector position,455,0.19072943104762838,0.2014400944499683,7311.240373339913,2359.0603616666667,12158.771563333334,-174.6311943375773,-427.19166666666666,169.125
INTIRL,Northern Ireland(Moyle),Autumn,daily,wind_actual_mw,Actual wind output,import_mw,Import magnitude,455,0.20906057577986917,0.22378352361446974,7311.240373339913,2359.0603616666667,12158.771563333334,63.2188440606572,0.0,201.25833333333355
