wind_metric,wind_metric_label,season,interconnectorId,interconnectorName,wind_bucket,direction,level_metric,bin_width_mw,wind_bucket_observations,direction_observations,direction_share_pct,mean_signed_mw,median_signed_mw,mean_import_mw,mean_export_mw,old_summary_mean_level_mw,net_gwh,import_half_hours,export_half_hours,near_zero_half_hours,import_share_pct,export_share_pct,near_zero_share_pct,mean_wind_mw,min_wind_mw,max_wind_mw,mean_level_mw,median_level_mw,min_level_mw,max_level_mw,mode_bin_lower_mw,mode_bin_upper_mw,most_probable_level_mw,mode_bin_count,mode_bin_probability_pct,mode_pdf_density_per_mw
wind_actual_mw,Actual wind output,All,INTELEC,Eleclink (INTELEC),lowest_20pct,import,import_mw_positive_magnitude_conditional_on_importing,100.0,11353,7328,64.54681581960715,393.93605214480755,738.0,546.1752840658856,152.23923192107813,546.1752840658856,2236.1780000000003,7328,2551,1474,64.54681581960715,22.469831762529726,12.98335241786312,1729.5558353915264,-115.2388,2830.466,846.1692139737992,996.0,2.0,1102.0,900.0,1000.0,950.0,4804.0,65.55676855895196,0.006555676855895196
wind_actual_mw,Actual wind output,All,INTELEC,Eleclink (INTELEC),lowest_20pct,export,export_mw_positive_magnitude_conditional_on_exporting,100.0,11353,2551,22.469831762529726,393.93605214480755,738.0,546.1752840658856,152.23923192107813,152.23923192107813,2236.1780000000003,7328,2551,1474,64.54681581960715,22.469831762529726,12.98335241786312,1729.5558353915264,-115.2388,2830.466,677.5272442179537,838.0,2.0,1026.0,1000.0,1100.0,1050.0,625.0,24.50019600156801,0.0024500196001568013
wind_actual_mw,Actual wind output,All,INTELEC,Eleclink (INTELEC),20_40pct,import,import_mw_positive_magnitude_conditional_on_importing,100.0,12862,8811,68.50412066552636,445.8334629140103,850.0,579.3711708909967,133.53770797698647,579.3711708909967,2867.155,8811,2533,1518,68.50412066552636,19.693671279738766,11.802208054734878,3887.8469440211475,2830.6159999999995,5018.745599999998,845.7464532970151,996.0,2.0,1002.0,900.0,1000.0,950.0,5924.0,67.2341391442515,0.00672341391442515
wind_actual_mw,Actual wind output,All,INTELEC,Eleclink (INTELEC),20_40pct,export,export_mw_positive_magnitude_conditional_on_exporting,100.0,12862,2533,19.693671279738766,445.8334629140103,850.0,579.3711708909967,133.53770797698647,133.53770797698647,2867.155,8811,2533,1518,68.50412066552636,19.693671279738766,11.802208054734878,3887.8469440211475,2830.6159999999995,5018.745599999998,678.0742202921437,878.0,2.0,1026.0,1000.0,1100.0,1050.0,853.0,33.6754836162653,0.00336754836162653
wind_actual_mw,Actual wind output,All,INTELEC,Eleclink (INTELEC),40_60pct,import,import_mw_positive_magnitude_conditional_on_importing,100.0,12871,8686,67.4850438971331,408.53158262761247,724.0,550.1623805454121,141.6307979177997,550.1623805454121,2629.1049999999996,8686,2587,1598,67.4850438971331,20.099448372309844,12.415507730557067,6270.893215150338,5018.8512,7611.486599999997,815.2360119732904,994.0,2.0,1258.0,900.0,1000.0,950.0,5417.0,62.36472484457748,0.006236472484457748
wind_actual_mw,Actual wind output,All,INTELEC,Eleclink (INTELEC),40_60pct,export,export_mw_positive_magnitude_conditional_on_exporting,100.0,12871,2587,20.099448372309844,408.53158262761247,724.0,550.1623805454121,141.6307979177997,141.6307979177997,2629.1049999999996,8686,2587,1598,67.4850438971331,20.099448372309844,12.415507730557067,6270.893215150338,5018.8512,7611.486599999997,704.6501739466563,856.0,2.0,1026.0,1000.0,1100.0,1050.0,963.0,37.224584460765364,0.0037224584460765365
wind_actual_mw,Actual wind output,All,INTELEC,Eleclink (INTELEC),60_80pct,import,import_mw_positive_magnitude_conditional_on_importing,100.0,12364,7617,61.60627628599159,337.42025234551926,452.0,482.9838240051763,145.56357165965707,482.9838240051763,2085.9320000000002,7617,2898,1849,61.60627628599159,23.43901649951472,14.954707214493693,9105.177387301845,7611.787199999998,10784.430800000004,783.9847709071813,988.0,2.0,1260.0,900.0,1000.0,950.0,4336.0,56.92529867401864,0.005692529867401864
wind_actual_mw,Actual wind output,All,INTELEC,Eleclink (INTELEC),60_80pct,export,export_mw_positive_magnitude_conditional_on_exporting,100.0,12364,2898,23.43901649951472,337.42025234551926,452.0,482.9838240051763,145.56357165965707,145.56357165965707,2085.9320000000002,7617,2898,1849,61.60627628599159,23.43901649951472,14.954707214493693,9105.177387301845,7611.787199999998,10784.430800000004,621.0310559006211,752.0,2.0,1028.0,1000.0,1100.0,1050.0,711.0,24.53416149068323,0.0024534161490683227
wind_actual_mw,Actual wind output,All,INTELEC,Eleclink (INTELEC),highest_20pct,import,import_mw_positive_magnitude_conditional_on_importing,100.0,13378,7838,58.588727761997305,278.49544027507847,263.0,426.19061145163704,147.69517117655852,426.19061145163704,1862.856,7838,3212,2328,58.588727761997305,24.00956794737629,17.4017042906264,12868.123311346986,10784.7864,17142.889999999996,727.4276601173768,911.0,2.0,1014.0,900.0,1000.0,950.0,3717.0,47.42281194182189,0.004742281194182189
wind_actual_mw,Actual wind output,All,INTELEC,Eleclink (INTELEC),highest_20pct,export,export_mw_positive_magnitude_conditional_on_exporting,100.0,13378,3212,24.00956794737629,278.49544027507847,263.0,426.19061145163704,147.69517117655852,147.69517117655852,1862.856,7838,3212,2328,58.588727761997305,24.00956794737629,17.4017042906264,12868.123311346986,10784.7864,17142.889999999996,615.1513075965131,690.0,2.0,1026.0,1000.0,1100.0,1050.0,950.0,29.576587795765878,0.002957658779576588
